BBG ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP; has_large_mkt_cap ; has_large_mkt_cap ; has_large_mkt_cap ;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER;VOLUME_AVG_6M;CNTRY_OF_RISK;ULT_PARENT_CNTRY_OF_RISK
CH0038863350 ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;244827.40;244827402880.00; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;AA;Aa2;31862.12695;CH;CH
CH0038863350 ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;244827.40;244827402880.00; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;AA;Aa2;31862.12695;CH;CH
CH0039821084 ISIN;METALL ZUG AG-REG;Diversified;Diversified Operations;1322.37;1322365380.29; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0043238366 ISIN;ARYZTA AG;Consumer, Non-cyclical;Food-Baking;3454.83;3454830394.42; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A;179.6299286;CH;CH
CH0043238366 ISIN;ARYZTA AG;Consumer, Non-cyclical;Food-Baking;3454.83;3454830394.42; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A;179.6299286;CH;CH
CH0045159024 ISIN;FINANCIERE RICHEMONT-DEP REC;Consumer, Cyclical;Retail-Jewelry;33303.60;33303599954.89; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Receipt;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0102484968 ISIN;JULIUS BAER GROUP LTD;Financial;Diversified Finan Serv;9355.23;9355234926.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;#N/A N/A;A3;191.2126007;CH;CH
CH0121032772 ISIN;ALLIED WORLD ASSURANCE CO;Financial;Reinsurance;3555.94;3555939766.86; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;BBB+;#N/A N/A;630794.3125;US;US
CH0126881561 ISIN;SWISS RE AG;Financial;Reinsurance;30498.14;30498145916.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A;#N/A N/A;906.2913208;CH;CH
CH0126881561 ISIN;SWISS RE AG;Financial;Reinsurance;30498.14;30498145916.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A;#N/A N/A;906.2913208;CH;CH
CH0239518779 ISIN;HIAG IMMOBILIEN AG;Financial;Real Estate Oper/Develop;780.80;780800000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;CHF;08.08.2016;#N/A N/A;#N/A N/A;1129.318;CH;CH
CH0244100266 ISIN;UBS AG;Financial;Diversified Banking Inst; #N/A Field Not Applicable ; #N/A N/A ; 1.00 ; -   ; 1.00 ;2500000000;EURO-DOLLAR;CH;USD;08.08.2016;A+;A1;678.1190476;CH;CH
CH0244767585 ISIN;UBS GROUP AG-REG;Financial;Diversified Banking Inst;52171.27;52171270531.40; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;A-;#N/A N/A;2893899.75;CH;CH
CH0244767585 ISIN;UBS GROUP AG-REG;Financial;Diversified Banking Inst;52171.27;52171270531.40; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;A-;#N/A N/A;2893899.75;CH;CH
CNE1000001Q4 ISIN;CHINA CITIC BANK CORP LTD-H;Financial;Commer Banks Non-US;40606.85;40606845483.21; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;25.07.2016;#N/A N/A;#N/A N/A;190.2362213;CN;CN
CNE1000001S0 ISIN;AIR CHINA LTD-H;Consumer, Cyclical;Airlines;13713.81;13713807420.14; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;26.07.2016;#N/A N/A;#N/A N/A;1074.858276;CN;CN
CNE1000001T8 ISIN;ALUMINUM CORP OF CHINA LTD-H;Basic Materials;Metal-Aluminum;7905.49;7905489604.80; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;#N/A N/A;#N/A N/A;77.55905151;CN;CN
CNE1000001W2 ISIN;ANHUI CONCH CEMENT CO LTD-H;Industrial;Bldg Prod-Cement/Aggreg;13809.51;13809506531.69; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A-;A3;7701.503906;CN;CN
CNE1000001Y8 ISIN;AVICHINA INDUSTRY & TECH-H;Industrial;Aerospace/Defense-Equip;4499.28;4499279733.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;2528.110352;CN;CN
CNE1000001Z5 ISIN;BANK OF CHINA LTD-H;Financial;Commer Banks Non-US;142091.28;142091280434.75; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A;#N/A N/A;23234.92188;CN;CN
CNE1000001Z5 ISIN;BANK OF CHINA LTD-H;Financial;Commer Banks Non-US;142091.28;142091280434.75; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A;#N/A N/A;23234.92188;CN;CN
CNE100000205 ISIN;BANK OF COMMUNICATIONS CO-H;Financial;Commer Banks Non-US;57950.00;57950002685.68; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;A-;#N/A N/A;763.779541;CN;CN
CNE100000205 ISIN;BANK OF COMMUNICATIONS CO-H;Financial;Commer Banks Non-US;57950.00;57950002685.68; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;A-;#N/A N/A;763.779541;CN;CN
CNE100000296 ISIN;BYD CO LTD-H;Consumer, Cyclical;Auto-Cars/Light Trucks;21960.98;21960981039.62; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;#N/A N/A;#N/A N/A;48537.75781;CN;CN
CNE1000002D0 ISIN;CHINA BLUECHEMICAL LTD - H;Basic Materials;Agricultural Chemicals;956.80;956801423.35; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;08.07.2016;#N/A N/A;#N/A N/A;17.71653557;CN;CN
CNE1000002F5 ISIN;CHINA COMMUNICATIONS CONST-H;Industrial;Building&Construct-Misc;24944.50;24944504574.59; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;555.2677002;CN;CN
CNE1000002G3 ISIN;CHINA COMMUNICATIONS SERVI-H;Industrial;Building-Heavy Construct;3830.33;3830327816.86; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;222.9133911;CN;CN
CNE1000002H1 ISIN;CHINA CONSTRUCTION BANK-H;Financial;Commer Banks Non-US;177184.92;177184923080.33; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A;#N/A N/A;19974.9375;CN;CN
CNE1000002H1 ISIN;CHINA CONSTRUCTION BANK-H;Financial;Commer Banks Non-US;177184.92;177184923080.33; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A;#N/A N/A;19974.9375;CN;CN
CNE1000002K5 ISIN;CHINA EASTERN AIRLINES CO-H;Consumer, Cyclical;Airlines;12694.82;12694815377.42; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;30.06.2016;#N/A N/A;#N/A N/A;81.03936768;CN;CN
CNE1000002L3 ISIN;CHINA LIFE INSURANCE CO-H;Financial;Life/Health Insurance;82453.10;82453099320.90; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;AA-;#N/A N/A;23220.58984;CN;CN
CNE1000002L3 ISIN;CHINA LIFE INSURANCE CO-H;Financial;Life/Health Insurance;82453.10;82453099320.90; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;AA-;#N/A N/A;23220.58984;CN;CN
CNE1000002M1 ISIN;CHINA MERCHANTS BANK-H;Financial;Commer Banks Non-US;63477.45;63477446875.16; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;19.07.2016;BBB+;#N/A N/A;1334.653564;CN;CN
CNE1000002R0 ISIN;CHINA SHENHUA ENERGY CO-H;Energy;Coal;44310.21;44310206791.19; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;AA-;#N/A N/A;548.5827026;CN;CN
CNE1000002S8 ISIN;CHINA SHIPPING DEVELOPMENT-H;Industrial;Transport-Marine;3424.21;3424213478.69; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;05.07.2016;#N/A N/A;#N/A N/A;191.1811066;CN;CN
CNE1000002V2 ISIN;CHINA TELECOM CORP LTD-H;Communications;Telecom Services;41211.11;41211114180.51; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;20.07.2016;#N/A N/A;#N/A N/A;32.28346634;CN;CN
CNE1000002Z3 ISIN;DATANG INTL POWER GEN CO-H;Utilities;Electric-Generation;6969.34;6969335913.44; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;62.99212646;CN;CN
CNE100000304 ISIN;DONGFANG ELECTRIC CORP LTD-H;Industrial;Power Conv/Supply Equip;3233.20;3233200785.39; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;35.43307114;CN;CN
CNE100000312 ISIN;DONGFENG MOTOR GRP CO LTD-H;Consumer, Cyclical;Auto-Cars/Light Trucks;10540.79;10540785426.65; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;11.07.2016;A;A1;672.5748291;CN;CN
CNE100000338 ISIN;GREAT WALL MOTOR COMPANY-H;Consumer, Cyclical;Auto-Cars/Light Trucks;12988.34;12988343500.79; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;#N/A N/A;#N/A N/A;14797.87402;CN;CN
CNE100000387 ISIN;GUANGZHOU BAIYUNSHAN PHARM-H;Consumer, Non-cyclical;Therapeutics;4793.33;4793328970.01; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CN;CN
CNE1000003D8 ISIN;HUADIAN POWER INTL CORP-H;Utilities;Electric-Generation;7362.93;7362929499.75; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;#N/A N/A;#N/A N/A;137.7952728;CN;CN
CNE1000003G1 ISIN;IND & COMM BK OF CHINA-H;Financial;Commer Banks Non-US;228214.02;228214019150.63; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A;#N/A N/A;75831.51563;CN;CN
CNE1000003R8 ISIN;MAANSHAN IRON & STEEL-H;Basic Materials;Steel-Producers;2831.93;2831929615.49; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;03.08.2016;#N/A N/A;#N/A N/A;420.9448853;CN;CN
CNE1000003W8 ISIN;PETROCHINA CO LTD-H;Energy;Oil Comp-Integrated;191469.75;191469754592.86; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;#N/A N/A;#N/A N/A;5654.055176;CN;CN
CNE1000003W8 ISIN;PETROCHINA CO LTD-H;Energy;Oil Comp-Integrated;191469.75;191469754592.86; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;#N/A N/A;#N/A N/A;5654.055176;CN;CN
CNE1000003X6 ISIN;PING AN INSURANCE GROUP CO-H;Financial;Multi-line Insurance;88867.28;88867275513.64; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;#N/A N/A;#N/A N/A;4953.763672;CN;CN
CNE1000003X6 ISIN;PING AN INSURANCE GROUP CO-H;Financial;Multi-line Insurance;88867.28;88867275513.64; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;#N/A N/A;#N/A N/A;4953.763672;CN;CN
CNE100000437 ISIN;SHANGHAI ELECTRIC GRP CO L-H;Industrial;Machinery-General Indust;13334.74;13334738262.93; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;A;#N/A N/A;39.37007904;CN;CN
CNE1000004C8 ISIN;SINOPEC SHANGHAI PETROCHEM-H;Basic Materials;Petrochemicals;8496.92;8496917279.01; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CN;CN
CNE1000004J3 ISIN;TRAVELSKY TECHNOLOGY LTD-H;Technology;Applications Software;5703.64;5703641636.47; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;#N/A N/A;#N/A N/A;494.6377869;CN;CN
CNE1000004L9 ISIN;WEICHAI POWER CO LTD-H;Consumer, Cyclical;Auto/Trk Prts&Equip-Repl;5405.36;5405357163.29; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BBB    *-;#N/A N/A;2306.842529;CN;CN
CNE1000004S4 ISIN;ZHEJIANG EXPRESSWAY CO-H;Consumer, Non-cyclical;Public Thoroughfares;4786.99;4786988730.62; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;28.06.2016;#N/A N/A;#N/A N/A;800.1574707;CN;CN
CNE1000004Y2 ISIN;ZTE CORP-H;Communications;Telecommunication Equip;8657.97;8657966539.89; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A;1243.110229;CN;CN
CNE100000528 ISIN;CHINA COAL ENERGY CO-H;Energy;Coal;10250.52;10250524543.22; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A;154.8503876;CN;CN
CNE100000536 ISIN;CHINA SHIPPING CONTAINER-H;Industrial;Transport-Marine;5634.94;5634943247.99; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;20.07.2016;#N/A N/A;#N/A N/A;12.59842491;CN;CN
CNE100000593 ISIN;PICC PROPERTY & CASUALTY-H;Financial;Property/Casualty Ins;23894.75;23894752946.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;18.07.2016;#N/A N/A;#N/A N/A;1029.834595;CN;CN
CNE1000006Z4 ISIN;HUANENG POWER INTL INC-H;Utilities;Electric-Generation;14269.96;14269961440.32; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;NR;#N/A N/A;3416.70874;CN;CN
CNE1000007Z2 ISIN;CHINA RAILWAY GROUP LTD-H;Industrial;Building-Heavy Construct;23005.21;23005209632.91; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;03.08.2016;BBB+;#N/A N/A;266.7086487;CN;CN
CNE1000009Q7 ISIN;CHINA PACIFIC INSURANCE GR-H;Financial;Life/Health Insurance;35511.87;35511869811.18; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;#N/A N/A;#N/A N/A;68.85826874;CN;CN
CNE100000F20 ISIN;BBMG CORPORATION-H;Industrial;Bldg Prod-Cement/Aggreg;6150.95;6150945626.57; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CN;CN
CNE100000FF3 ISIN;METALLURGICAL CORP OF CHIN-H;Industrial;Building-Heavy Construct;79323.35;79323350827.68; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;HKD;09.08.2016;#N/A N/A;#N/A N/A;10514710;CN;CN
CNE100000FN7 ISIN;SINOPHARM GROUP CO-H;Consumer, Non-cyclical;Medical-Whsle Drug Dist;14500.39;14500388473.44; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;#N/A N/A;#N/A N/A;442.6614075;CN;CN
CNE100000HD4 ISIN;CHINA LONGYUAN POWER GROUP-H;Energy;Energy-Alternate Sources;6951.50;6951499277.96; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;A-;#N/A N/A;470.3779602;CN;CN
CNE100000HF9 ISIN;CHINA MINSHENG BANKING-H;Financial;Commer Banks Non-US;48406.81;48406806696.95; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;19.07.2016;BBB;#N/A N/A;108.8110199;CN;CN
CNE100000Q35 ISIN;GUANGZHOU AUTOMOBILE GROUP-H;Consumer, Cyclical;Auto-Cars/Light Trucks;19356.55;19356549331.01; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;03.08.2016;#N/A N/A;#N/A N/A;467.8661499;CN;CN
CNE100000Q43 ISIN;AGRICULTURAL BANK OF CHINA-H;Financial;Commer Banks Non-US;149807.84;149807841359.84; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;A;#N/A N/A;575.0472412;CN;CN
CNE1000016V2 ISIN;CITIC SECURITIES CO LTD-H;Financial;Finance-Invest Bnkr/Brkr;29269.26;29269262902.93; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BBB;#N/A N/A;114.2126007;CN;CN
CNE100001922 ISIN;NEW CHINA LIFE INSURANCE C-H;Financial;Life/Health Insurance;127111.34;127111338680.19; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;HKD;09.08.2016;#N/A N/A;#N/A N/A;3976358;CN;CN
CNE1000019K9 ISIN;HAITONG SECURITIES CO LTD-H;Financial;Finance-Invest Bnkr/Brkr;5557.60;5557597176.60; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;BBB;#N/A N/A;55.39369965;CN;CN
CNE100001F60 ISIN;HUADIAN FUXIN ENERGY CORP -H;Utilities;Electric-Generation;15806.97;15806967657.60; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;HKD;09.08.2016;#N/A N/A;#N/A N/A;19261010;CN;CN
CNE100001MK7 ISIN;PEOPLE'S INSURANCE CO GROU-H;Financial;Property/Casualty Ins;17008.54;17008535883.93; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CN;CN
CNE100001NP4 ISIN;CHINA MACHINERY ENGINEERIN-H;Industrial;Building&Construct-Misc; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CN;CN
CNE100001NT6 ISIN;CHINA GALAXY SECURITIES CO-H;Financial;Diversified Finan Serv;8741.54;8741544600.31; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CN;CN
CNE100001QN2 ISIN;BANK OF CHONGQING CO LTD-H;Financial;Commer Banks Non-US;18793.60;18793599378.05; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;HKD;09.08.2016;#N/A N/A;#N/A N/A;780859.7;CN;CN
CNE100001QS1 ISIN;CHINA CINDA ASSET MANAGEME-H;Financial;Invest Mgmnt/Advis Serv;12198.98;12198984299.37; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;20.07.2016;A-;A3;83.64566803;CN;CN
CNE100001QW3 ISIN;CHINA EVERBRIGHT BANK CO L-H;Financial;Commer Banks Non-US;2953.56;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;NR;#N/A N/A;#N/A N/A;CN;CN
CNE100001T98 ISIN;DALIAN WANDA COMMERCIAL PR-H;Financial;Real Estate Oper/Develop;2773.33;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BBB;#N/A N/A;7.086614132;CN;CN
DE0001102333 ISIN;BUNDESREPUB. DEUTSCHLAND;Government;Sovereign; #N/A Field Not Applicable ; #N/A Field Not Applicable ; 1.00 ; 1.00 ; 1.00 ;18000000000;EURO-ZONE;DE;EUR;09.08.2016;AAAu;#N/A N/A;#N/A N/A;DE;DE
DE0001137495 ISIN;BUNDESSCHATZANWEISUNGEN;Government;Sovereign; #N/A Field Not Applicable ; #N/A Field Not Applicable ; 1.00 ; 1.00 ; 1.00 ;14000000000;EURO-ZONE;DE;EUR;09.08.2016;AAAu;#N/A N/A;#N/A N/A;DE;DE
DE0005140008 ISIN;DEUTSCHE BANK AG-REGISTERED;Financial;Diversified Banking Inst;18578.81;18578809074.57; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;BBB+;Baa2;4644465.5;DE;DE
DE0005552004 ISIN;DEUTSCHE POST AG-REG;Industrial;Transport-Services;37280.05;37280048338.38; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;NR;A3;2446.748047;DE;DE
DE0005785604 ISIN;FRESENIUS SE & CO KGAA;Consumer, Non-cyclical;Dialysis Centers;40694.79;40694794025.36; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;20.07.2016;BBB-;Baa3;102.0157471;DE;DE
DE0005785604 ISIN;FRESENIUS SE & CO KGAA;Consumer, Non-cyclical;Dialysis Centers;40694.79;40694794025.36; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;20.07.2016;BBB-;Baa3;102.0157471;DE;DE
DE0005785802 ISIN;FRESENIUS MEDICAL CARE AG &;Consumer, Non-cyclical;Dialysis Centers;28144.27;28144270295.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;BBB-;WR;588.3858032;DE;DE
DE0005785802 ISIN;FRESENIUS MEDICAL CARE AG &;Consumer, Non-cyclical;Dialysis Centers;28144.27;28144270295.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;BBB-;WR;588.3858032;DE;DE
DE0005909006 ISIN;BILFINGER SE;Industrial;Engineering/R&D Services;1786.66;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;#N/A Field Not Applicable;BB+;#N/A N/A;#N/A N/A;DE;DE
DE0006231004 ISIN;INFINEON TECHNOLOGIES AG;Technology;Electronic Compo-Semicon;18148.22;18148221368.13; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;BBB;#N/A N/A;2542.91333;DE;DE
DE0006483001 ISIN;LINDE AG;Basic Materials;Industrial Gases;27785.68;27785683728.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;A+;#N/A N/A;388.9448853;DE;DE
DE0006483001 ISIN;LINDE AG;Basic Materials;Industrial Gases;27785.68;27785683728.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;A+;#N/A N/A;388.9448853;DE;DE
DE0006599905 ISIN;MERCK KGAA;Consumer, Non-cyclical;Medical-Drugs;47063.56;47063561610.29; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;A;Baa1;934.9212646;DE;DE
DE0007100000 ISIN;DAIMLER AG-REGISTERED SHARES;Consumer, Cyclical;Auto-Cars/Light Trucks;72513.58;72513582157.66; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;A-;#N/A N/A;41271.28516;DE;DE
DE0007164600 ISIN;SAP SE;Technology;Enterprise Software/Serv;107062.92;107062915314.57; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;A;#N/A N/A;44528.71484;DE;DE
DE0007164600 ISIN;SAP SE;Technology;Enterprise Software/Serv;107062.92;107062915314.57; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;A;#N/A N/A;44528.71484;DE;DE
DE0007236101 ISIN;SIEMENS AG-REG;Industrial;Diversified Manufact Op;97537.50;97537500000.00; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;A+;A1;1001.779541;DE;DE
DE000A1EWWW0 ISIN;ADIDAS AG;Consumer, Cyclical;Athletic Footwear;34144.08;34144081555.20; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;#N/A N/A;#N/A N/A;699.4487915;DE;DE
DE000A1PHFF7 ISIN;HUGO BOSS AG  -ORD;Consumer, Cyclical;Retail-Apparel/Shoe;7145.60;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;DE;DE
DE000A1R0VM5 ISIN;DEUTSCHE POST AG;Industrial;Transport-Services; #N/A Field Not Applicable ; 33,635,723,500.00 ; 1.00 ; -   ; 1.00 ;1000000000;EURO-ZONE;DE;EUR;09.08.2016;NR;A3;#N/A N/A;DE;DE
DE000BASF111 ISIN;BASF SE;Basic Materials;Chemicals-Diversified;54442.82;#N/A N/A; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;#N/A Field Not Applicable;A;#N/A N/A;#N/A N/A;DE;DE
DE000CBK1001 ISIN;COMMERZBANK AG;Financial;Commer Banks Non-US;7807.20;7807197490.36; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;BBB+;Baa1;830.3621826;DE;DE
DE000CBK1001 ISIN;COMMERZBANK AG;Financial;Commer Banks Non-US;7807.20;7807197490.36; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;08.08.2016;BBB+;Baa1;830.3621826;DE;DE
DE000ENAG999 ISIN;E.ON SE;Utilities;Electric-Integrated;20390.19;20390190000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;04.08.2016;BBB+;#N/A N/A;948.1259766;DE;DE
DE000KSAG888 ISIN;K+S AG-REG;Basic Materials;Chemicals-Diversified;4057.68;4057680000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;20.07.2016;BBB-   *-;WR;183.3937073;DE;DE
