SEARCH_ISIN;BBG_ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP;has_large_mkt_cap_last_traded;has_large_mkt_cap_current;has_large_mkt_cap_both;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER
GB0002374006 ISIN;GB0002374006 Equity ISIN;DIAGEO PLC;Consumer, Non-cyclical;Beverages-Wine/Spirits;71433.58912;71433587004;1;0;1;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;A-;A3
GB0002875804 ISIN;GB0002875804 Equity ISIN;BRITISH AMERICAN TOBACCO PLC;Consumer, Non-cyclical;Tobacco;116427.9622;1.16428E+11;1;0;1;#N/A Field Not Applicable;Common Stock;GB;USD;03.08.2016;A-;A3
GB0009252882 ISIN;GB0009252882 Equity ISIN;GLAXOSMITHKLINE PLC;Consumer, Non-cyclical;Medical-Drugs;106709.2099;1.06709E+11;1;1;1;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;A+;A2
GB0009895292 ISIN;GB0009895292 Equity ISIN;ASTRAZENECA PLC;Consumer, Non-cyclical;Medical-Drugs;85414.26618;85414269113;1;1;1;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;A-;#N/A N/A
GB0030913577 ISIN;GB0030913577 Equity ISIN;BT GROUP PLC;Communications;Telephone-Integrated;53609.06275;53609061805;1;1;1;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;BBB+;#N/A N/A
GB00B03MLX29 ISIN;GB00B03MLX29 Equity ISIN;ROYAL DUTCH SHELL PLC-A SHS;Energy;Oil Comp-Integrated;203106.6434;2.0298E+11;1;1;1;#N/A Field Not Applicable;Common Stock;NL;USD;05.08.2016;A;Aa2
GB00B1XZS820 ISIN;GB00B1XZS820 Equity ISIN;ANGLO AMERICAN PLC;Basic Materials;Diversified Minerals;14356.99611;14356995961;0;1;1;#N/A Field Not Applicable;Common Stock;GB;USD;05.08.2016;BB;WR
HK0000049939 ISIN;HK0000049939 Equity ISIN;CHINA UNICOM HONG KONG LTD;Communications;Cellular Telecom;25383.90458;25383905948;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;27.07.2016;#N/A N/A;#N/A N/A
HK0000056264 ISIN;HK0000056264 Equity ISIN;CHINA SOUTH CITY HOLDINGS;Financial;Real Estate Oper/Develop;13370.55739;13370557738;0;1;1;#N/A Field Not Applicable;Common Stock;HK;HKD;08.08.2016;B;#N/A N/A
HK0000069689 ISIN;HK0000069689 Equity ISIN;AIA GROUP LTD;Financial;Life/Health Insurance;76514.41624;76514417393;1;0;1;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;A;#N/A N/A
HK0002007356 ISIN;HK0002007356 Equity ISIN;CLP HOLDINGS LTD;Utilities;Electric-Integrated;25668.73741;25668737791;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;03.08.2016;A-;#N/A N/A
HK0004000045 ISIN;HK0004000045 Equity ISIN;WHARF HOLDINGS LTD;Diversified;Diversified Operations;20368.503;20368503637;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;NR;#N/A N/A
HK0016000132 ISIN;HK0016000132 Equity ISIN;SUN HUNG KAI PROPERTIES;Financial;Real Estate Oper/Develop;41805.63662;41805637837;1;0;1;#N/A Field Not Applicable;Common Stock;HK;USD;01.08.2016;A+;#N/A N/A
HK0101000591 ISIN;HK0101000591 Equity ISIN;HANG LUNG PROPERTIES LTD;Financial;Real Estate Oper/Develop;9444.068478;9444068907;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;26.07.2016;#N/A N/A;#N/A N/A
HK0165000859 ISIN;HK0165000859 Equity ISIN;CHINA EVERBRIGHT LTD;Financial;Diversified Finan Serv;3353.654903;3353654887;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;28.07.2016;#N/A N/A;#N/A N/A
HK0285041858 ISIN;HK0285041858 Equity ISIN;BYD ELECTRONIC INTL CO LTD;Communications;Telecommunication Equip;1622.307304;1622307240;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A
HK0941009539 ISIN;HK0941009539 Equity ISIN;CHINA MOBILE LTD;Communications;Cellular Telecom;253691.2401;2.53691E+11;1;0;1;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;AA-;#N/A N/A
HK2388011192 ISIN;HK2388011192 Equity ISIN;BOC HONG KONG HOLDINGS LTD;Financial;Commer Banks Non-US;34678.71897;34678719272;1;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;29.07.2016;#N/A N/A;#N/A N/A
IE00B56GVS15 ISIN;IE00B56GVS15 Equity ISIN;ALKERMES PLC;Consumer, Non-cyclical;Medical-Drugs;7364.140222;7364140199;0;1;1;#N/A Field Not Applicable;Common Stock;IE;USD;05.08.2016;BB-;#N/A N/A
IE00BQRQXQ92 ISIN;IE00BQRQXQ92 Equity ISIN;TYCO INTERNATIONAL PLC;Industrial;Electronic Secur Devices;19316.48818;19316488312;0;1;1;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;A-     *-;WR
IL0011214744 ISIN;IL0011214744 Equity ISIN;ISRAEL LAND DEVELOPMENT CO E;Energy;Oil Comp-Explor&Prodtn;28.80348562;28803486.65;0;1;1;#N/A Field Not Applicable;Common Stock;IL;ILs;08.08.2016;#N/A N/A;#N/A N/A
JP3435000009 ISIN;JP3435000009 Equity ISIN;SONY CORP;Consumer, Cyclical;Audio/Video Products;41300.24867;41300249827;1;1;1;#N/A Field Not Applicable;Common Stock;JP;USD;05.08.2016;BBB-;Ba1
JP3436100006 ISIN;JP3436100006 Equity ISIN;SOFTBANK GROUP CORP;Communications;Telephone-Integrated;68749.81048;68749812500;1;0;1;#N/A Field Not Applicable;Common Stock;JP;USD;05.08.2016;BB+;WR
JP3436120004 ISIN;JP3436120004 Equity ISIN;SBI HOLDINGS INC;Communications;Internet Financial Svcs;2369.126621;2369126579;0;1;1;#N/A Field Not Applicable;Common Stock;JP;USD;28.07.2016;#N/A N/A;#N/A N/A
JP3802300008 ISIN;JP3802300008 Equity ISIN;FAST RETAILING CO LTD;Consumer, Cyclical;Retail-Apparel/Shoe;37973.30708;37973308111;1;1;1;#N/A Field Not Applicable;Common Stock;JP;USD;05.08.2016;A;#N/A N/A
JP3902900004 ISIN;JP3902900004 Equity ISIN;MITSUBISHI UFJ FINANCIAL GRO;Financial;Diversified Banking Inst;68931.47059;68931473834;1;0;1;#N/A Field Not Applicable;Common Stock;JP;USD;03.08.2016;A;A1
KYG040111059 ISIN;KYG040111059 Equity ISIN;ANTA SPORTS PRODUCTS LTD;Consumer, Cyclical;Retail-Apparel/Shoe;5102.617429;5102617524;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;#N/A N/A;#N/A N/A
KYG112591014 ISIN;KYG112591014 Equity ISIN;BIOSTIME INTERNATIONAL HOLDI;Consumer, Non-cyclical;Consumer Products-Misc;2080.287848;2080287878;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;30.06.2016;BB;#N/A N/A
KYG211071009 ISIN;KYG211071009 Equity ISIN;CHINA CORD BLOOD CORP;Consumer, Non-cyclical;Medical Labs&Testing Srv;425.2420423;425242046.9;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
KYG2140A1076 ISIN;KYG2140A1076 Equity ISIN;CIFI HOLDINGS GROUP CO LTD;Financial;Real Estate Oper/Develop;14423.83386;14423833215;0;1;1;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;BB-;#N/A N/A
KYG217651051 ISIN;KYG217651051 Equity ISIN;CK HUTCHISON HOLDINGS LTD;Diversified;Diversified Operations;45202.23891;45202238785;1;0;1;#N/A Field Not Applicable;Common Stock;HK;USD;04.08.2016;A-;A3
KYG5427W1309 ISIN;KYG5427W1309 Equity ISIN;LEE & MAN PAPER MANUFACTURIN;Industrial;Containers-Paper/Plastic;3417.44925;3417449250;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;12.07.2016;#N/A N/A;#N/A N/A
KYG607441022 ISIN;KYG607441022 Equity ISIN;MGM CHINA HOLDINGS LTD;Consumer, Cyclical;Casino Hotels;5357.999875;5358000001;0;1;1;#N/A Field Not Applicable;Common Stock;MO;USD;03.08.2016;#N/A N/A;#N/A N/A
KYG875721634 ISIN;KYG875721634 Equity ISIN;TENCENT HOLDINGS LTD;Communications;Internet Applic Sftwr;225960.9691;2.25961E+11;1;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;A2
KYG8878S1030 ISIN;KYG8878S1030 Equity ISIN;TINGYI (CAYMAN ISLN) HLDG CO;Consumer, Non-cyclical;Food-Flour&Grain;4986.55543;4986555510;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;02.08.2016;BBB+;Baa1
LU0323134006 ISIN;LU0323134006 Equity ISIN;ARCELORMITTAL;Basic Materials;Steel-Producers;19467.26703;19467267320;0;1;1;#N/A Field Not Applicable;Common Stock;LU;USD;05.08.2016;BB;WR
MX01PI000005 ISIN;MX01PI000005 Equity ISIN;PROMOTORA Y OPERADORA DE INF;Industrial;Building-Heavy Construct;5104.901904;5105449332;0;1;1;#N/A Field Not Applicable;Common Stock;MX;USD;04.08.2016;NR;WR
